rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	Expected P-Value	genes	
1	Acute leukemia	C0085669	29	525	0.0	1.794043774668102e-07	0.000192346424975	CBL,IL3,JAK1,HRAS,HSP90AA1,JAK3,KIT,CALM3,ABL1,IL3RA,PDGFRA,PICALM,FGFR1,CSF2,ANGPT1,KRAS,PIK3CB,TFRC,PIK3CA,PTPN11,ABCB1,IL5,PTPRA,IL2,JAK2,EPS15,NRAS,NCAM1,IL2RB
2	Alzheimer Disease	C0002395	66	1699	0.0	3.588087549336204e-07	4.76791884944e-05	CAMK2G,KL,IL3,GDNF,GRIN2B,PDGFRB,HSP90AA1,EGFR,IGF2R,SLIT2,GFRA2,IRS2,APOB,VAMP2,PIK3R1,DAB2,LRP2,ITSN1,GRIN2A,CHRM2,DLG4,AP2A2,ABL1,IRS1,ARRB2,TF,FGF2,FRS3,GPC1,PDGFRA,PICALM,FGFR1,SLC18A3,CSF2,GRIN1,DNM2,ERBB4,RANBP9,M6PR,FGF23,PIK3CB,SH3GL2,PIK3CA,SYT1,NEFL,CDC42,UBB,ABCB1,FGFR3,PTPRA,IL2,BIN1,GRB2,CAMK2A,LRRK2,AKAP9,NRG1,JAK2,SYNJ1,FYN,FGF1,ARTN,FGFR2,NCAM1,IL2RB,ADRB2
3	Inflammation	C0021368	31	647	0.0	5.382131324004306e-07	4.44258291039e-05	KL,PDGFRB,HSP90AA1,EGFR,FGF7,APOB,CHRM2,IL2RA,HGF,IRS1,TF,FGF2,CSF2,IL5RA,ANGPT1,RET,KRAS,PDGFB,TFRC,ABCB1,IL5,EGF,IL2,BIN1,CAMK2A,NRG1,PDGFA,FGF1,NCAM1,IL2RB,ADRB2
4	Malignant tumor of urinary bladder	C0005684	53	1371	0.0	7.176175098672408e-07	0.000100447336316	IL3,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,JAK3,WNT5A,IGF2R,FZD4,HBEGF,IRS2,APOB,PIK3R1,DAB2,AGFG1,CALM3,MET,FGF3,HGF,REPS1,IRS1,SOS1,FGF2,PDGFRA,ERBB2,FGFR1,CSF2,IL5RA,RET,RPS27A,ERBB4,CD4,KRAS,PIK3CB,TFRC,PIK3CA,SYT1,ABCB1,FGFR3,CTTN,ERBB3,IL5,EGF,IL2,GRB2,UBC,FGF4,NRG1,NRAS,FGF1,TEK,FGFR2
6	Squamous cell carcinoma of the head and neck	C1168401	40	825	0.0	1.0764262648008611e-06	0.000122895622896	JAK1,GDNF,ARPC5,HRAS,FGFR4,EGFR,IGF2R,HBEGF,PTK2,LAT,MET,IL2RA,FGF3,HGF,SOS1,FGF2,PDGFRA,ERBB2,FGFR1,CSF2,ERBB4,KRAS,PIK3CB,TFRC,SH3GL2,PIK3CA,SYT1,CDC42,ABCB1,FGFR3,CTTN,ERBB3,GAB1,EGF,IL2,VAMP7,JAK2,AVP,FGFR2,NCAM1
7	Synovial sarcoma	C0039101	22	178	0.0	1.2558306422676714e-06	9.50384346611e-05	GDNF,PDGFRB,EGFR,VAMP3,KIT,PTK2,MET,HGF,REPS2,SOS1,PDGFRA,FGF8,ERBB2,FGF18,PIK3CB,PIK3CA,SYT1,KITLG,ABCB1,GAB1,SRC,FGFR2
9	Astrocytoma	C0004114	37	674	0.0	1.614639397201292e-06	9.43775100402e-05	GDNF,HRAS,PDGFRB,FGFR4,EGFR,MATK,KIT,PTK2,PIK3R1,CALM3,MET,HGF,FGF2,PDGFRA,ERBB2,FGFR1,CSF2,ANGPT1,DNM2,KRAS,PDGFB,PIK3CB,TFRC,PIK3CA,NEFL,PTPN11,SHC3,ERBB3,SCARB2,EGF,JAK2,SRC,PDGFA,ARTN,TEK,FGFR2,NCAM1
10	Sarcoma, Ewing	C1261473	48	829	0.0	1.794043774668102e-06	6.01779173208e-05	GDNF,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,IGF2R,SPRY2,KIT,IRS2,CSF2RA,GPNMB,MET,FGF3,FGF5,IL2RG,HGF,ABL1,IL3RA,SOS1,FGF2,PDGFRA,ERBB2,FGFR1,CSF2,ANGPT1,KRAS,PDGFB,PIK3CB,TFRC,PIK3CA,SYT1,NEFL,PTPN11,ABCB1,FGFR3,CSF2RB,IL5,EGF,FGF4,SRC,PDGFA,NRAS,FYN,FGF1,TEK,FGFR2,NCAM1
23	Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation	C0751690	17	151	0.0	4.126300681736635e-06	0.00016065395122	PDGFRB,EGFR,KIT,PTK2,CALM3,MET,HGF,PDGFRA,ERBB2,FGF23,KRAS,SYT1,ABCB1,EGF,NRG1,PDGFA,NRAS
28	Pituitary adenoma	C0032000	22	286	0.0	5.023322569070686e-06	7.8323041924e-05	FGFR4,EGFR,KIT,GFRA2,GPNMB,GFRA1,ARRB2,FGF2,RET,KRAS,PIK3CB,TFRC,PIK3CA,EGF,IL2,GRB2,FGF4,PDGFA,ARRB1,FYN,FGFR2,NCAM1
234	Ischemia	C0022116	30	647	2.34290364887e-12	4.198062432723358e-05	4.90737731557e-05	KL,GDNF,GRIN2B,HSP90AA1,FZD4,HBEGF,PTK2,APOB,PIK3R1,GRIN2A,HGF,GFRA1,SOS1,TF,FGF2,ANGPT1,PIK3CB,PIK3CA,SYT1,PTPRA,EGF,IL2,FGF4,NRG1,JAK2,AVP,FGF1,TEK,NCAM1,ADRB2
235	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4	C1140680	65	1967	2.58815191501e-12	4.21600287047004e-05	7.61699460553e-05	KL,JAK1,GDNF,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,IGF2R,SLIT2,FGF7,SPRY1,KIT,HBEGF,FRS2,PTK2,IRS2,GPNMB,DAB2,CALM3,MET,IL2RA,FGF3,IL2RG,RAB5A,HGF,ABL1,IRS1,SOS1,FGF2,EREG,FGF8,ERBB2,FGFR1,CSF2,ANGPT1,RET,ERBB4,KRAS,PDGFB,PIK3CB,TFRC,PIK3CA,SYT1,CDC42,KITLG,ABCB1,CTTN,ERBB3,EGF,IL2,PIK3R2,FGF4,NRG1,JAK2,SRC,NRAS,ARRB1,FGF1,ARTN,TEK,FGFR2,FGF16,PTK6
236	Pain	C0030193	30	628	3.7104763706e-12	4.233943308216721e-05	4.87655580494e-05	GDNF,GRIN2B,CLTCL1,SLIT2,KIT,APOB,CLTC,IL2RA,HGF,PDGFRA,ERBB2,SLC18A3,LDLRAP1,CSF2,GRIN1,RET,ERBB4,FGF23,KRAS,PIK3CA,NRTN,ABCB1,SCARB2,IL2,NRG1,JAK2,AVP,TEK,IL2RB,ADRB2
