Gene	CUI	Source Databases	
PRKAA2	C0043202	Wolff-Parkinson-White pattern	DisGeNet	
PRKAB1	C0043202	Wolff-Parkinson-White pattern	DisGeNet	
PRKAA1	C0043202	Wolff-Parkinson-White pattern	DisGeNet	
PRKAG2	C0043202	Wolff-Parkinson-White pattern	ClinVar,HumPhenOnt,DisGeNet	
PRKAA2	C0270952	Oculopharyngeal muscular dystrophy	DisGeNet	
PRKAB1	C0270952	Oculopharyngeal muscular dystrophy	DisGeNet	
PRKAA1	C0270952	Oculopharyngeal muscular dystrophy	DisGeNet	
PRKAA2	C0016053	Fibromyalgia	DisGeNet	
PRKAB1	C0016053	Fibromyalgia	DisGeNet	
PRKAA1	C0016053	Fibromyalgia	DisGeNet	
PRKAA2	C0029928	Ovarian Diseases	DisGeNet	
STK11	C0029928	Ovarian Diseases	DisGeNet	
PPARGC1A	C0029928	Ovarian Diseases	DisGeNet	
PRKAG3	C0029928	Ovarian Diseases	DisGeNet	
SLC22A1	C0029928	Ovarian Diseases	DisGeNet	
PRKAA2	C0010414	Infection by Cryptococcus neoformans	DisGeNet	
PRKAB1	C0010414	Infection by Cryptococcus neoformans	DisGeNet	
PRKAA1	C0010414	Infection by Cryptococcus neoformans	DisGeNet	
PRKAA2	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
STK11	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
PPARGC1A	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
PRKAB1	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
PRKAA1	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
PRKAG2	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
STRADA	C0031269	Peutz-Jeghers syndrome	DisGeNet	
STK11	C0031269	Peutz-Jeghers syndrome	ClinVar,DisGeNet	
CAB39	C0031269	Peutz-Jeghers syndrome	DisGeNet	
PRKAA2	C0011860	Diabetes mellitus type 2	DisGeNet	
STK11	C0011860	Diabetes mellitus type 2	DisGeNet	
PPARGC1A	C0011860	Diabetes mellitus type 2	DisGeNet	
PRKAG1	C0011860	Diabetes mellitus type 2	DisGeNet	
PRKAB1	C0011860	Diabetes mellitus type 2	DisGeNet	
PRKAA1	C0011860	Diabetes mellitus type 2	DisGeNet	
SLC47A1	C0011860	Diabetes mellitus type 2	DisGeNet	
PRKAG3	C0011860	Diabetes mellitus type 2	DisGeNet	
PRKAB2	C0011860	Diabetes mellitus type 2	DisGeNet	
SLC22A2	C0011860	Diabetes mellitus type 2	DisGeNet	
SLC22A1	C0011860	Diabetes mellitus type 2	DisGeNet	
PRKAG2	C0011860	Diabetes mellitus type 2	DisGeNet	
PRKAA2	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
STK11	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
PPARGC1A	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
PRKAG1	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
PRKAB1	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
PRKAA1	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
SLC47A1	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
PRKAG3	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
PRKAB2	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
SLC22A2	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
SLC22A1	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
PRKAG2	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
PRKAA2	C0041341	Tuberous sclerosis syndrome	DisGeNet	
STK11	C0041341	Tuberous sclerosis syndrome	DisGeNet	
PRKAB1	C0041341	Tuberous sclerosis syndrome	DisGeNet	
PRKAA1	C0041341	Tuberous sclerosis syndrome	DisGeNet	
SLC22A2	C0005398	Extrahepatic cholestasis	DisGeNet	
SLC22A1	C0005398	Extrahepatic cholestasis	DisGeNet	
PRKAA2	C1561643	Chronic kidney disease	DisGeNet	
PRKAB1	C1561643	Chronic kidney disease	DisGeNet	
PRKAA1	C1561643	Chronic kidney disease	DisGeNet	
SLC22A2	C1561643	Chronic kidney disease	DisGeNet	
PRKAG2	C1561643	Chronic kidney disease	DisGeNet	
PRKAA2	C0004153	Atherosclerosis	DisGeNet	
PPARGC1A	C0004153	Atherosclerosis	DisGeNet	
PRKAG1	C0004153	Atherosclerosis	DisGeNet	
PRKAB1	C0004153	Atherosclerosis	DisGeNet	
PRKAA1	C0004153	Atherosclerosis	DisGeNet	
PRKAG3	C0004153	Atherosclerosis	DisGeNet	
PRKAB2	C0004153	Atherosclerosis	DisGeNet	
SLC22A1	C0004153	Atherosclerosis	DisGeNet	
PRKAG2	C0004153	Atherosclerosis	DisGeNet	
STK11	C0034885	Neoplasm of the rectum	HumPhenOnt	
PRKAA1	C0034885	Neoplasm of the rectum	DisGeNet	
PRKAG2	C0034885	Neoplasm of the rectum	DisGeNet	
STK11	C0009375	Neoplasm of the colon	HumPhenOnt	
PRKAB1	C0009375	Neoplasm of the colon	DisGeNet	
PRKAA1	C0009375	Neoplasm of the colon	DisGeNet	
RB1CC1	C0009375	Neoplasm of the colon	DisGeNet	
SLC22A1	C0009375	Neoplasm of the colon	DisGeNet	
SLC22A3	C0009375	Neoplasm of the colon	DisGeNet	
PRKAG2	C0009375	Neoplasm of the colon	DisGeNet	
PRKAA2	C0812413	Pleural Mesothelioma	DisGeNet	
PRKAB1	C0812413	Pleural Mesothelioma	DisGeNet	
PRKAA1	C0812413	Pleural Mesothelioma	DisGeNet	
SLC22A3	C0812413	Pleural Mesothelioma	DisGeNet	
PRKAA2	C0233794	Memory impairment	DisGeNet	
PPARGC1A	C0233794	Memory impairment	DisGeNet	
PRKAB1	C0233794	Memory impairment	DisGeNet	
PRKAA1	C0233794	Memory impairment	DisGeNet	
PRKAA2	C0018800	Cardiomegaly	DisGeNet	
STK11	C0018800	Cardiomegaly	DisGeNet	
PPARGC1A	C0018800	Cardiomegaly	DisGeNet	
PRKAG2	C0018800	Cardiomegaly	HumPhenOnt,DisGeNet	
