"drug_name","drug_id","ind_name","ind_id","NCT","status","phase","DetailedStatus"
"Lepirudin","DB00001","Heparin-induced thrombocytopenia with thrombosis","C0272275",NA,"Approved",NA,NA
"Cetuximab","DB00002","Squamous cell carcinoma of mouth","C0585362",NA,"Approved",NA,NA
"Cetuximab","DB00002","Squamous cell carcinoma of nose","C3163899",NA,"Approved",NA,NA
"Cetuximab","DB00002","Squamous cell carcinoma of pharynx","C1319317",NA,"Approved",NA,NA
"Cetuximab","DB00002","Laryngeal Squamous Cell Carcinoma","C0280324",NA,"Approved",NA,NA
"Cetuximab","DB00002","Malignant tumor of colon","C0007102",NA,"Approved",NA,NA
"Dornase alfa","DB00003","Cystic Fibrosis","C0010674",NA,"Approved",NA,NA
"Denileukin diftitox","DB00004","Lymphoma, T-Cell, Cutaneous","C0079773",NA,"Approved",NA,NA
"Etanercept","DB00005","Rheumatoid Arthritis","C0003873",NA,"Approved",NA,NA
"Etanercept","DB00005","Juvenile arthritis","C3495559",NA,"Approved",NA,NA
"Etanercept","DB00005","Arthritis, Psoriatic","C0003872",NA,"Approved",NA,NA
"Etanercept","DB00005","Ankylosing spondylitis","C0038013",NA,"Approved",NA,NA
"Etanercept","DB00005","Chronic small plaque psoriasis","C0406317",NA,"Approved",NA,NA
"Leuprolide","DB00007","Precocious Puberty","C0034013",NA,"Approved",NA,NA
"Leuprolide","DB00007","Endometriosis","C0014175",NA,"Approved",NA,NA
"Peginterferon alfa-2a","DB00008","Hepatitis C, Chronic","C0524910",NA,"Approved",NA,NA
"Peginterferon alfa-2a","DB00008","Hepatitis B, Chronic","C0524909",NA,"Approved",NA,NA
"Alteplase","DB00009","Ischemic stroke","C0948008",NA,"Approved",NA,NA
"Alteplase","DB00009","Acute myocardial infarction","C0155626",NA,"Approved",NA,NA
"Alteplase","DB00009","Pulmonary Embolism","C0034065",NA,"Approved",NA,NA
"Sermorelin","DB00010","Pituitary dwarfism","C0013338",NA,"Approved",NA,NA
"Urokinase","DB00013","Pulmonary Embolism","C0034065",NA,"Approved",NA,NA
"Goserelin","DB00014","Hormone receptor positive malignant neoplasm of breast","C1562029",NA,"Approved",NA,NA
"Goserelin","DB00014","Endometriosis","C0014175",NA,"Approved",NA,NA
"Reteplase","DB00015","Acute myocardial infarction","C0155626",NA,"Approved",NA,NA
"Erythropoietin","DB00016","Anemia in chronic kidney disease","C1561828",NA,"Approved",NA,NA
"Erythropoietin","DB00016","Anemia due to chemotherapy","C1998329",NA,"Approved",NA,NA
"Salmon Calcitonin","DB00017","Osteoporosis, Postmenopausal","C0029458",NA,"Approved",NA,NA
"Salmon Calcitonin","DB00017","Osteitis Deformans","C0029401",NA,"Approved",NA,NA
"Pegfilgrastim","DB00019","Chemotherapy-induced neutropenia","C1827687",NA,"Approved",NA,NA
"Sargramostim","DB00020","Chemotherapy-induced neutropenia","C1827687",NA,"Approved",NA,NA
"Peginterferon alfa-2b","DB00022","Hepatitis C, Chronic","C0524910",NA,"Approved",NA,NA
"Asparaginase","DB00023","Acute lymphocytic leukemia","C0023449",NA,"Approved",NA,NA
"Anakinra","DB00026","Rheumatoid Arthritis","C0003873",NA,"Approved",NA,NA
"Anakinra","DB00026","Cryopyrin-Associated Periodic Syndromes","C2316212",NA,"Approved",NA,NA
"Anakinra","DB00026","Chronic Infantile Neurological, Cutaneous, and Articular Syndrome","C0409818",NA,"Approved",NA,NA
"Gramicidin D","DB00027","Bacterial conjunctivitis","C0009768",NA,"Approved",NA,NA
"Gramicidin D","DB00027","Infective blepharitis","C0729587",NA,"Approved",NA,NA
"Gramicidin D","DB00027","Blepharoconjunctivitis","C0005743",NA,"Approved",NA,NA
"Gramicidin D","DB00027","Bacterial keratitis","C0854211",NA,"Approved",NA,NA
"Insulin Human","DB00030","Diabetes Mellitus, Insulin-Dependent","C0011854",NA,"Approved",NA,NA
"Insulin Human","DB00030","Diabetes Mellitus, Non-Insulin-Dependent","C0011860",NA,"Approved",NA,NA
"Insulin Human","DB00030","Diabetes Mellitus","C0011849",NA,"Approved",NA,NA
"Tenecteplase","DB00031","Acute myocardial infarction","C0155626",NA,"Approved",NA,NA
"Desmopressin","DB00035","Hemophilia A","C0019069",NA,"Approved",NA,NA
"Desmopressin","DB00035","von Willebrand Disease","C0042974",NA,"Approved",NA,NA
"Desmopressin","DB00035","Bedwetting","C0270327",NA,"Approved",NA,NA
"Coagulation factor VIIa Recombinant Human","DB00036","Hemophilia A","C0019069",NA,"Approved",NA,NA
"Coagulation factor VIIa Recombinant Human","DB00036","Hemophilia B","C0008533",NA,"Approved",NA,NA
"Coagulation factor VIIa Recombinant Human","DB00036","Thrombasthenia","C0040015",NA,"Approved",NA,NA
"Coagulation factor VIIa Recombinant Human","DB00036","Factor VII Deficiency","C0015503",NA,"Approved",NA,NA
"Oprelvekin","DB00038","Thrombocytopenia","C0040034",NA,"Approved",NA,NA
"Palifermin","DB00039","Mucositis following radiation therapy","C0392190",NA,"Approved",NA,NA
"Palifermin","DB00039","Drug-induced mucositis","C1274988",NA,"Approved",NA,NA
"Glucagon recombinant","DB00040","Hypoglycemia","C0020615",NA,"Approved",NA,NA
"Aldesleukin","DB00041","Leukemia, Myelocytic, Acute","C0023467",NA,"Approved",NA,NA
"Aldesleukin","DB00041","Metastatic Renal Cell Cancer","C0278678",NA,"Approved",NA,NA
"Aldesleukin","DB00041","Malignant melanoma, metastatic","C0860594",NA,"Approved",NA,NA
"Omalizumab","DB00043","Asthma","C0004096",NA,"Approved",NA,NA
"Omalizumab","DB00043","Chronic idiopathic urticaria","C0578870",NA,"Approved",NA,NA
"Insulin Lispro","DB00046","Diabetes Mellitus, Insulin-Dependent","C0011854",NA,"Approved",NA,NA
"Insulin Lispro","DB00046","Diabetes Mellitus, Non-Insulin-Dependent","C0011860",NA,"Approved",NA,NA
"Insulin Glargine","DB00047","Diabetes Mellitus, Insulin-Dependent","C0011854",NA,"Approved",NA,NA
"Insulin Glargine","DB00047","Diabetes Mellitus, Non-Insulin-Dependent","C0011860",NA,"Approved",NA,NA
